
*************************************************************************************

09.10.2020 13:55:13.138 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.197 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.261 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.328 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.384 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.456 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.513 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.573 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.635 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.698 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.762 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.827 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.891 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:13.953 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.014 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.075 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.140 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.198 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.270 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.328 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.390 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.452 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.515 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.581 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.636 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.700 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.763 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.830 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.892 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:14.957 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:15.011 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:15.075 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:15.142 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:15.202 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:21.450 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:21.516 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:21.584 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:21.641 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:21.701 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:21.763 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:21.832 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:21.894 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:21.953 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.018 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.079 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.139 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.208 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.267 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.330 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.395 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.452 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.514 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.577 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.641 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.711 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.767 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.834 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.894 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:22.952 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:23.018 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:23.082 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:23.147 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:23.208 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
09.10.2020 13:55:23.269 действие: Энергия корабля уменьшена на 20 единиц, и равна 100 
